date,ticker,rolling_sharpe_252d,rolling_sortino_252d,var_95_252d,cvar_95_252d,max_drawdown_60d
2024-09-13,^AXJO,0.9775320210872936,1.5356780485693915,-1.281433635342812,-1.6974439366030338,-0.18238866024032907
2024-09-16,^AXJO,1.0598364210137465,1.6637042360733725,-1.281433635342812,-1.6974439366030338,0.0
2024-09-17,^AXJO,1.1215719259628427,1.758784668602978,-1.281433635342812,-1.6974439366030338,0.0
2024-09-18,^AXJO,1.163901070664606,1.8230446952362187,-1.281433635342812,-1.6974439366030338,0.0
2024-09-19,^AXJO,1.3436584316162625,2.1142774013869228,-1.2505728314401499,-1.6903155100748937,0.0
2024-09-20,^AXJO,1.3577807896810357,2.1366883032449784,-1.2505728314401499,-1.6903155100748937,0.0
2024-09-23,^AXJO,1.2856838359286757,2.0249583476966864,-1.2505728314401499,-1.6903155100748937,-0.6894463445550891
2024-09-24,^AXJO,1.3226360828167574,2.0820430393524756,-1.2505728314401499,-1.6903155100748937,-0.8222181618856239
2024-09-25,^AXJO,1.3155798704719297,2.071491615073974,-1.2505728314401499,-1.6903155100748937,-1.012243104406485
2024-09-26,^AXJO,1.4008608965127807,2.2115202997091536,-1.2505728314401499,-1.6903155100748937,-0.07064747776965863
2024-09-27,^AXJO,1.380889735689376,2.1793849043326503,-1.2505728314401499,-1.6903155100748937,0.0
2024-09-30,^AXJO,1.4587470866842227,2.3037797789166152,-1.2505728314401499,-1.6903155100748937,0.0
2024-10-01,^AXJO,1.5120803145917807,2.3961185816866672,-1.215473857187938,-1.6866465933523676,-0.736407355689328
2024-10-02,^AXJO,1.571230220587542,2.48983214229131,-1.215473857187938,-1.6866465933523676,-0.8657961627367983
2024-10-03,^AXJO,1.5351971879014843,2.430929241182053,-1.215473857187938,-1.6866465933523676,-0.7811508246956977
2024-10-04,^AXJO,1.4381282166862872,2.2781867185114857,-1.215473857187938,-1.6866465933523676,-1.448642137861611
2024-10-07,^AXJO,1.475288913749575,2.3401533174772964,-1.215473857187938,-1.6866465933523676,-0.7787300247098727
2024-10-08,^AXJO,1.361109606542237,2.154119153803931,-1.215473857187938,-1.6866465933523676,-1.1233633768388485
2024-10-09,^AXJO,1.3150456758558688,2.0782234250295013,-1.215473857187938,-1.6866465933523676,-0.9963953697772032
2024-10-10,^AXJO,1.3490594314438036,2.133112406067451,-1.215473857187938,-1.6866465933523676,-0.5659121840044135
2024-10-11,^AXJO,1.3911695785982945,2.198361435848899,-1.215473857187938,-1.6866465933523676,-0.6686958087686046
2024-10-14,^AXJO,1.4622670012805783,2.3095766641841706,-1.215473857187938,-1.6866465933523676,-0.20556724952838223
2024-10-15,^AXJO,1.4925833621670626,2.3611036484744288,-1.215473857187938,-1.6866465933523676,0.0
2024-10-16,^AXJO,1.42979583968947,2.2639139939661375,-1.215473857187938,-1.6866465933523676,-0.40512831469955435
2024-10-17,^AXJO,1.63163632663551,2.599223859605982,-1.1792600929294172,-1.6749485399394197,0.0
2024-10-18,^AXJO,1.660954475885264,2.651162313881494,-1.1399044545573127,-1.6749485399394197,-0.870046217808762
2024-10-21,^AXJO,1.8004402017830587,2.877826180321217,-1.1399044545573127,-1.6749485399394197,-0.1376272988235061
2024-10-22,^AXJO,1.6189885348402955,2.568088379926443,-1.215473857187938,-1.710169892773448,-1.7975345359671713
2024-10-23,^AXJO,1.6332572141254569,2.5902091557415665,-1.215473857187938,-1.710169892773448,-1.6742706840062738
2024-10-24,^AXJO,1.6790408719018255,2.661580230022987,-1.215473857187938,-1.710169892773448,-1.790358656086255
2024-10-25,^AXJO,1.6658041256543374,2.6404082814702945,-1.215473857187938,-1.710169892773448,-1.7305207000760325
2024-10-28,^AXJO,1.7505212567304882,2.7734037284518798,-1.215473857187938,-1.710169892773448,-1.6084489323950346
2024-10-29,^AXJO,1.7694482378915968,2.8040854898515946,-1.215473857187938,-1.710169892773448,-1.2769443186782525
2024-10-30,^AXJO,1.6210182658393861,2.563762363476999,-1.215473857187938,-1.710169892773448,-2.100318099509113
2024-10-31,^AXJO,1.524323210092307,2.406794836328453,-1.215473857187938,-1.710169892773448,-2.344455791320743
2024-11-01,^AXJO,1.385097483223644,2.1797980735897537,-1.215473857187938,-1.710169892773448,-2.837522886265109
