date,tech_vs_broad,small_vs_large,equity_bond_ratio,equity_bond_rotation_10d,gold_silver_ratio,gold_silver_chg_5d,risk_appetite,spy_tlt_corr_30d
2024-01-22,0.015512372273806196,0.0029273704316234994,5.438258436205306,5.109158794117485,9.25914973187224,3.421738874963909,0.009219871352714848,0.23243827078584314
2024-01-23,0.013180213824721454,0.005972747597170258,5.497682749677838,5.795671235611288,9.15489482036409,2.1162169728419222,0.009576480710945856,0.24701718377172502
2024-01-24,0.017988591715813795,-0.001982419658017376,5.53612019884527,6.016945304540999,9.000482961693512,0.010747625948237527,0.00800308602889821,0.2612408554745313
2024-01-25,0.008130817104996746,0.003955464282456855,5.530093194262172,4.815492372488284,8.936962493638756,-0.742813915615137,0.006043140693726801,0.2729324549654152
2024-01-26,-0.0040783390474956605,0.008125481823956893,5.533668175251195,5.518702048066038,8.965004268218197,-1.3959207523949746,0.002023571388230616,0.2716669214204335
2024-01-29,-0.0009523193898599569,-0.0015725217792834645,5.513991341816604,4.864273625653626,8.879302685539797,-4.102396627466964,-0.0012624205845717107,0.17868541512296168
2024-01-30,-0.008138790335369794,-0.0035577704194373894,5.460224006767614,2.388673775162009,8.899952410797699,-2.7847661231377496,-0.005848280377403592,0.15773732507940053
2024-01-31,-0.015635153286648218,-0.002443579358835102,5.3188942891492825,0.13734669787843767,9.012434161809207,0.1327839868878078,-0.00903936632274166,0.027242888486983204
2024-02-01,-0.012881756816251255,-0.005102018375572559,5.284840772034648,-2.297505696209623,8.97736972565473,0.4521360814117248,-0.008991887595911907,0.1681494788572327
2024-02-02,-0.0019689136976395183,-0.022249460607704163,5.461105768906897,0.037055524856599575,9.0896385836314,1.3902315234254115,-0.012109187152671841,0.04352064547150704
2024-02-05,-0.0019048399127923332,-0.040066245923553456,5.553363409260049,2.1165778420611625,9.163166273378883,3.1969130672993673,-0.020985542918172895,0.15232160895141375
2024-02-06,-0.000910365652029288,-0.026728622025861792,5.515577317790481,0.3254929199705492,9.193076594228648,3.2935477618433406,-0.01381949383894554,0.17945811510606755
2024-02-07,0.0045025773836464555,-0.02975663009826457,5.588627229692456,0.9484445597502944,9.272011840009757,2.880217192604051,-0.012627026357309057,0.1650859742216556
2024-02-08,0.007217735410667059,-0.015009837897844935,5.623795173388097,1.6944014473959879,9.12009710944773,1.5898574766852525,-0.0038960512435889383,0.16274489167564327
2024-02-09,0.004884169230193303,0.01150212155036523,5.667749615068248,2.4230119257370397,9.071566892412626,-0.198816389150136,0.008193145390279266,0.16985277119166095
2024-02-12,-0.0010337897598251544,0.04029872841940163,5.658629180966967,2.6231060258196104,9.013005710377566,-1.6387410041610595,0.019632469329788238,0.16322326530262712
2024-02-13,0.002042776844856986,0.004651349723664655,5.677984739150595,3.9881281814277303,9.135148109392672,-0.6301316457250405,0.0033470632842608206,0.23905694918487028
2024-02-14,0.001903648548812864,0.029643344883855116,5.700571173989285,7.1758689699593425,9.022504567045402,-2.690972329087238,0.01577349671633399,0.24890571918550733
2024-02-15,-0.0034306843983045177,0.0348586945635978,5.71037340782103,8.05194809346268,8.866284571490095,-2.783002581131566,0.015714005082646643,0.2989965135705124
2024-02-16,-0.011454626827694714,0.01501041197904096,5.715013255690412,4.649378670326265,8.711547529452888,-3.9686568729472183,0.0017778925756731234,0.28395964479802693
2024-02-20,-0.009998863404024227,-0.011678783006121018,5.6786514343524255,2.256074667893393,8.897484762031324,-1.281713914962146,-0.010838823205072623,0.27115099251810976
2024-02-21,-0.013195286074750845,0.010776086825157405,5.724491045042658,3.7877037201223818,8.944656675411109,-2.0852582979547063,-0.00120959962479672,0.22222674660955172
2024-02-22,-0.006715923253036715,-0.01635446239527294,5.814577817492529,4.04304274580336,9.008645547925754,-0.15360501085549538,-0.011535192824154827,0.24472571990757766
2024-02-23,-0.006408843570959499,-0.033889097132920765,5.741724363172879,2.0969680820315917,8.986183762456491,1.3523047901252472,-0.020148970351940132,0.23324476722991885
2024-02-26,0.0009157161238979583,-0.015501904602021943,5.737812506649077,1.2361677268621918,9.127060586251606,4.769681338406384,-0.007293094239061992,0.24555038734375614
2024-02-27,0.0035842248281934275,0.005271347825180239,5.7892969207022436,2.3091765789280405,9.139523713619898,2.7203075707579627,0.004427786326686833,0.24419448318205098
2024-02-28,0.004495087574158507,0.003926317541066648,5.745171019837598,1.1832768803294424,9.164963665703308,2.4630010774792988,0.004210702557612578,0.20007804712487237
2024-02-29,0.0009799309244002963,0.02036727843940689,5.725417042849219,0.4358487614942952,9.132175674817754,1.371239730044027,0.010673604681903592,0.20094968280296496
2024-03-01,0.010370582324943145,0.020171215137765763,5.743383126437244,0.5780658506675529,9.111478445654123,1.3943035943812188,0.015270898731354454,0.2503108616644878
2024-03-04,0.0046408920131790765,0.010149443133533165,5.760395623916765,0.7940903405808664,8.966605170816765,-1.7580185199662202,0.007395167573356121,0.2502733258260416
2024-03-05,-0.004035413088605,-0.0018168331216815714,5.622748460259706,-0.9844410198262876,9.099677053398985,-0.4359818024382678,-0.0029261231051432857,0.15961963947887028
2024-03-06,0.0011934465836105357,0.007588223127262594,5.618270375962292,-1.85554782503069,8.99592733605972,-1.844375338618598,0.004390834855436565,0.173178211698767
2024-03-07,0.001446710575314425,0.0026085811885041554,5.679364773801059,-2.325414637752299,8.99010811596577,-1.5556814050756818,0.00202764588190929,0.1618261164423745
2024-03-08,-0.012585416010183148,0.0067688022771063006,5.6552999179017265,-1.5052001768924073,9.070175845020671,-0.4533029505563113,-0.0029083068665384237,0.16112610649821094
2024-03-11,-0.012940697405942836,-0.000488290529687907,5.653391466686307,-1.471310536287851,9.038031165649429,0.796577896226891,-0.0067144939678153714,0.15936450927592563
2024-03-12,-0.0014759648596094355,-0.013136172294703874,5.762386337850368,-0.4648333505860469,9.044363599188431,-0.6078617283444387,-0.007306068577156655,0.09313881016482303
2024-03-13,-0.00887477958492111,-0.009960871840697605,5.781382995637618,0.6303028347630191,8.827994487017811,-1.86676529020815,-0.009417825712809358,0.11097852107045399
2024-03-14,-0.01443755817793424,-0.024093259257660926,5.859945579478027,2.349672270543657,8.814342724962671,-1.955097633263747,-0.019265408717797583,0.23718389216424168
2024-03-15,-0.01101877093023651,-0.020772325965755845,5.821587373065643,1.3616407769911465,8.671732555773382,-4.39289486836163,-0.015895548447996177,0.13355657278209923
2024-03-18,-0.00467843015634295,-0.025408699841864002,5.873880600012586,1.9700899643878556,8.731121785751215,-3.3957548305948992,-0.015043564999103476,0.2577922002906667
2024-03-19,-0.011195743811796777,-0.014743385878334014,5.8899965978879845,4.75298049551971,8.767002853239447,-3.066669566157998,-0.012969564845065396,0.23026481103534696
2024-03-20,-0.002546840236103076,-0.009979251450957793,5.94639683884227,5.840346599976098,8.68097830520001,-1.66534066184566,-0.006263045843530435,0.22685322177594733
2024-03-21,-0.0005619035936597072,0.014636902832329213,5.9532270499405895,4.822058223885506,8.916997996568119,1.1646389845350935,0.007037499619334753,0.25296937645858186
2024-03-22,0.007754021794773802,-0.0066069504391474965,5.885669838192009,4.073522600650259,8.88076289212565,2.4104795092314335,0.0005735356778131528,0.2191822015263216
2024-03-25,0.003167018860401827,0.010436631370926763,5.8989110638775895,4.342872745290216,8.901240308780991,1.9484154179065793,0.006801825115664295,0.2378291456549585
2024-03-26,0.004819715795232549,0.011757231711417848,5.871689810428965,1.8968438797765774,9.025962310313155,2.9537968837094697,0.008288473753325198,0.23238907927183508
